"Program","Year","Period","Geo.Level","State","State.ANSI","Market","Measure","Unit","Domain","Chemical","Code","Value","CV...."
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",-1,"FRESH MARKET","PRICE RECEIVED, ADJUSTED BASE","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,10.9,""
"SURVEY",2024,"YEAR","NATIONAL","US TOTAL",-1,"PROCESSING","PRICE RECEIVED, ADJUSTED BASE","$ / TON","NOT SPECIFIED","NOT SPECIFIED",NA,4.04,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"OTHER","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,123,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"FRESH MARKET","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,142,""
"SURVEY",2023,"MARKETING YEAR","NATIONAL","US TOTAL",-1,"PROCESSING","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,43.8,""
"SURVEY",2023,"MARKETING YEAR","STATE","CALIFORNIA",6,"OTHER","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,121,""
"SURVEY",2023,"MARKETING YEAR","STATE","FLORIDA",12,"OTHER","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,147,""
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",-1,"FRESH MARKET","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,142,""
"SURVEY",2023,"MARKETING YEAR","STATE","OTHER STATES",-1,"PROCESSING","PRICE RECEIVED","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,43.8,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"OTHER","YIELD","CWT / ACRE","NOT SPECIFIED","NOT SPECIFIED",NA,485,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"OTHER","YIELD","TONS / ACRE","NOT SPECIFIED","NOT SPECIFIED",NA,24.26,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"FRESH MARKET","PRICE RECEIVED, 10 YEAR AVG FOR PARITY PURPOSES","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,120,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"FRESH MARKET","PRICE RECEIVED, 10 YEAR AVG","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,120,""
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL",-1,"FRESH MARKET","PRICE RECEIVED, ADJUSTED BASE","$ / CWT","NOT SPECIFIED","NOT SPECIFIED",NA,10.8,""
